α,β,L,id,time,h_sample,strain
0.3308574,0.015672216,13.361532,007,55.66,144.986,jt305
0.37603357,0.015464381,11.184393,008,55.66,144.986,jt305
0.4143244,0.010330134,9.120086,009,55.66,144.986,jt305
0.330927,0.020711116,14.5207405,010,55.66,144.986,jt305
0.3392322,0.017117975,13.221799,best,56.58,148.481,jt305
0.33051595,0.024657825,16.493502,001,56.58,148.481,jt305
0.36367086,0.0053537395,9.52721,002,56.58,148.481,jt305
0.35524833,0.017016623,12.297689,003,56.58,148.481,jt305
0.32582173,0.013970647,13.141727,004,56.58,148.481,jt305
0.3457337,0.02028291,14.150509,005,56.58,148.481,jt305
0.3290966,0.02206111,14.839512,006,56.58,148.481,jt305
0.3480994,0.018052185,13.064501,007,56.58,148.481,jt305
0.36810043,0.013214708,11.080535,008,56.58,148.481,jt305
0.40807894,0.005027714,8.433984,009,56.58,148.481,jt305
0.32322186,0.024429118,16.2527,010,56.58,148.481,jt305
0.34035742,0.015976332,12.929734,best,57.51,151.56,jt305
0.33956763,0.01013076,12.04634,001,57.51,151.56,jt305
0.34782693,0.01630427,12.782991,002,57.51,151.56,jt305
0.33835012,0.018737212,13.64887,003,57.51,151.56,jt305
0.34134418,0.0438543,19.173409,004,57.51,151.56,jt305
0.35077164,0.020441394,13.238939,005,57.51,151.56,jt305
0.32727396,0.018501483,14.064677,006,57.51,151.56,jt305
0.32645753,0.015744502,13.636122,007,57.51,151.56,jt305
0.31958765,0.015931439,14.067827,008,57.51,151.56,jt305
0.34134308,0.020280613,13.891864,009,57.51,151.56,jt305
0.35996017,0.009503093,10.674201,010,57.51,151.56,jt305
0.3403249,0.015141193,12.766312,best,58.43,153.417,jt305
0.35818654,0.016327308,12.252584,001,58.43,153.417,jt305
0.3233514,0.011884165,12.986924,002,58.43,153.417,jt305
0.37102047,0.010507603,10.489215,003,58.43,153.417,jt305
0.32879984,0.01991583,14.460689,004,58.43,153.417,jt305
0.33384228,0.010121945,12.12241,005,58.43,153.417,jt305
0.3404083,0.028562075,15.720174,006,58.43,153.417,jt305
0.37864593,0.0022482807,8.5665655,007,58.43,153.417,jt305
0.34720027,0.014112923,12.145787,008,58.43,153.417,jt305
0.3725712,0.007821733,10.040759,009,58.43,153.417,jt305
0.352393,0.012744124,11.963734,010,58.43,153.417,jt305
0.3413895,0.014113656,12.491558,best,59.35,155.774,jt305
0.34916672,0.0076017054,10.598905,001,59.35,155.774,jt305
0.32339564,0.014867044,13.56474,002,59.35,155.774,jt305
