time,data,α,β,L
24.76,51.339666666666666,0.27940376547639095,1.4293722849992855e-12,13.41197590244715
25.33,53.302666666666674,0.2791421252211938,1.544735207287896e-12,13.567727331979142
25.9,55.88833333333333,0.2783731282799333,1.5961287763240935e-12,13.726554429661748
26.47,59.177666666666674,0.27759168398982964,1.5317337576262215e-12,13.952638341254252
27.05,61.04266666666667,0.27709087132144194,1.5066770379894214e-12,14.092929168590489
27.62,62.84133333333333,0.2768193848595683,9.908999225685946e-28,14.166378299969514
28.19,64.75266666666667,0.2766946495546505,1.5335046478315635e-12,14.198909654000095
28.77,66.78166666666667,NaN,NaN,NaN
29.34,68.00466666666667,0.2769186138361318,1.5652603386554628e-15,14.145098875991318
29.91,70.00633333333333,0.27719261574280263,1.5655095760860147e-12,14.081500935616846
30.48,72.15733333333333,0.2774414064910524,1.5436892270269189e-12,14.025917965672168
31.05,74.59133333333334,0.2775963314191795,1.4014757599631477e-12,13.992507640759374
31.69,76.563,0.27785781124517267,1.327931791589313e-12,13.938179056350302
32.35,79.04433333333333,0.2781015129285703,1.2196859089523682e-12,13.889372704965353
33.01,81.39566666666667,0.2783596979591353,1.212928375629397e-12,13.839426332650113
33.67,81.61899999999999,0.2799800763307022,0.0014748881998786303,13.905492975256546
34.34,83.67866666666667,0.2825220804488437,0.00477844954415273,14.258290584869005
35.0,86.00200000000001,0.2843476980163908,0.007307925743602097,14.548087357479917
35.66,88.841,0.2852318979667058,0.008493613072768857,14.681682623198848
36.32,87.88933333333334,0.2877880642975049,0.011977640399266454,15.08389202388217
36.98,90.53500000000001,0.28932946096339845,0.014107500619174025,15.334783901019895
37.64,91.36133333333333,0.2915642420180591,0.01660095314190893,15.61594425739193
38.3,92.658,0.29263525837029497,0.018778629407320616,15.903040894125427
38.97,94.75666666666666,0.2937161608560481,0.020343589947266663,16.09990892203012
39.63,98.01233333333333,0.29475544611077653,0.02280472202918396,16.578157779975687
40.29,100.41466666666668,0.29390710066467785,0.020624248938778646,16.135897714989255
40.95,102.90100000000001,0.29363647136955223,0.020198244748357307,16.077182287754763
41.61,103.37599999999999,0.29430601853825755,0.022161914223432912,16.49171383462486
42.27,105.60700000000001,0.2937921548223621,0.020450914479003036,16.113005195046334
42.88,106.06766666666665,0.2944513163941886,0.022394615951976473,16.526896297455615
43.58,107.11633333333333,0.2948023986854256,0.022964084888470303,16.614005725186193
44.25,109.694,0.29484304598947986,0.023031914177397975,16.624636242204257
44.91,110.72033333333333,0.2949881809216802,0.02328167947907904,16.664744578679016
45.57,112.40733333333333,0.2950681841323318,0.023423763496753885,16.688100253535545
46.26,114.10833333333335,0.2951054354789536,0.023492307627209576,16.699643975332428
46.96,115.69566666666667,0.29512956015223435,0.023538424818604825,16.707599953216523
47.66,116.88033333333333,0.2952009831796126,0.023680392352797317,16.7326607117936
48.36,119.62866666666667,0.29508415359628465,0.023437821005369654,16.68883766233861
49.06,121.62366666666667,0.29492943747891687,0.02309975282463874,16.62628333505758
49.77,123.28566666666666,0.29479023286614875,0.022777910683007416,16.565297942542514
50.5,124.58466666666668,0.29462117606908456,0.021760984367263994,16.29674399714412
