time,nutrient_n,logistic_n,interface_n,logistic,interface
37.0,178.6220260336109,179.53921289393298,181.1221831398083,166.6008821957368,182.00438818984432
37.5,179.9038557453934,179.94168898565744,182.31988239972776,166.60224832641964,183.093529511289
38.0,181.1874763208705,180.31865507894543,183.49716167353523,166.60308480936138,184.15512227369592
38.5,182.4734382996571,180.6717600175151,184.65457919990857,166.60347854535186,185.18984553227165
39.0,183.76225842661634,181.00254851294582,185.7926859814685,166.60357070187294,186.19836517198152
39.5,185.05443111112342,181.31238867540665,186.91202578477828,166.6035567130982,187.18133390754957
40.0,186.35042842706522,181.60252734393293,188.01313514034405,166.60368627989314,188.13939128345848
40.5,187.6507001128407,181.8741575130798,189.09654334261432,166.6041787514647,189.07316367394964
41.0,188.9556735713605,182.1284194711416,190.16277490042216,166.60480084860308,189.98326428302323
41.5,190.2657538700472,182.36640080015178,191.21220169022635,166.60542126458498,190.87029314443797
42.0,191.58132007414477,182.58913637588293,192.2450972261693,166.60596343751146,191.7348371217114
42.5,192.90268497890628,182.79760836784683,193.2617393006569,166.60637170800447,192.57746990811972
43.0,194.23012254443938,182.99274623929443,194.26241040857943,166.6066113192068,193.39875202669785
43.5,195.56389784398274,183.17542674721574,195.24739774731162,166.60666841678216,194.19923083023932
44.0,196.90426689527462,183.34647394234,196.2169932167125,166.60655004891512,194.9794405012965
44.5,198.2514766605529,183.50665044530353,197.1714934191255,166.6062841663112,195.7399020521803
45.0,199.60576504655498,183.6566184737633,198.11119965937857,166.60591962219675,196.4811233249604
45.5,200.96736090451796,183.79699005352842,199.03641794478384,166.605526172319,197.20359899146533
46.0,202.33648403017835,183.92835127910948,199.947458985138,166.60519447494607,197.90781055328205
46.5,203.71334382457968,184.0512623515522,200.84463819272207,166.60503609086697,198.59422634175633
47.0,205.09811620155253,184.16625757843724,201.72827568230142,166.60517865252186,199.26330151799263
47.5,206.49095422036407,184.2738453738803,202.59869627112585,166.60560190088617,199.91548691695442
48.0,207.89200816234637,184.3745082585322,203.45622947892954,166.60617223734138,200.5512383766677
48.5,209.30142540747516,184.46870285957863,204.30120952793112,166.60678424841026,201.1709533521126
49.0,210.71935043436986,184.55685991074043,205.13397534283348,166.60735085984237,201.7750172390633
49.5,212.14592482029352,184.63938425227343,205.95487055082413,166.60780333661407,202.3638086691792
50.0,213.58128724115295,184.7166531666539,206.76424336433902,166.60809128292863,202.93769951000507
50.5,215.02557347149857,184.7889947934875,207.56237789221498,166.6081826422161,203.49705486497086
51.0,216.4789163845245,184.85670220726553,208.34939840744255,166.60806369713333,204.04223307339183
51.5,217.94144472157402,184.9200559953328,209.12541430713904,166.60773906956408,204.57358571046854
52.0,219.413267969439,184.9793248334945,209.89054286574503,166.60723172061887,205.09145758728678
52.5,220.89448594948863,185.03476548601628,210.64490923502456,166.6065829506351,205.59618675081762
53.0,222.38519849919746,185.08662280562413,211.388646444065,166.605852399177,206.08810448391745
53.5,223.88550508523664,185.1351297335045,212.12189539927704,166.6051180450356,206.56753530532788
54.0,225.39550480347364,185.18050729930425,212.84480488439473,166.60447620622875,207.0347969696758
54.5,226.9152963789724,185.22296462113064,213.55753156047552,166.60404154000116,207.49020046747341
55.0,228.44497816599326,185.2626989055514,214.2602399659002,166.60394704282442,207.9340500251181
55.5,229.98464814799303,185.2998954475946,214.9531025163729,166.60438472896308,208.3666431048927
