time,data,α,β,L
23.05,44.55166666666667,0.2837294026828793,6.026490825782413e-34,12.297879131248047
23.62,46.42433333333333,0.2831099232675707,4.973913212640256e-13,12.539666384741704
24.19,48.93966666666666,0.2818930213832323,5.673025204261771e-13,12.869587884069178
24.76,51.339666666666666,0.2794037654758065,7.847652636965663e-13,13.411975902404123
25.33,53.302666666666674,0.2789057852380341,8.748767262762198e-13,13.567139037272268
25.9,55.88833333333333,0.278373128279359,9.419776561625035e-13,13.726554429612166
26.47,59.177666666666674,0.2775916839893221,9.425287190478409e-13,13.952638341206653
27.05,61.04266666666667,0.27709087132098714,9.67488479218884e-13,14.092929168544206
27.62,62.84133333333333,0.27681938486041424,3.7732662573936076e-25,14.16637831138468
28.19,64.75266666666667,0.27669464955427653,1.0696219816060507e-12,14.19890965395558
28.77,66.78166666666667,0.2766635637007705,1.0999040557445691e-12,14.20671685892843
29.34,68.00466666666667,0.27691861383705646,1.1821609701740549e-12,14.145098876112872
29.91,70.00633333333333,0.27719261574255144,1.2286757197238375e-12,14.08150093557961
30.48,72.15733333333333,0.27744140649084226,1.2536737027815442e-12,14.02591796563871
31.05,74.59133333333334,0.27759633141901285,1.1764330813205675e-12,13.992507640733502
31.69,76.563,0.27785781124505193,1.1498667872854011e-12,13.938179056327998
32.35,79.04433333333333,0.27810151292848334,1.0866445898332916e-12,13.889372704948014
33.01,81.39566666666667,0.27835969795906923,1.107636686441453e-12,13.839426332635856
33.67,81.61899999999999,0.2799800763306707,0.0014748881998034684,13.905492975244346
34.34,83.67866666666667,0.28252208044883803,0.004778449544138087,14.2582905848666
35.0,86.00200000000001,0.28434769801638765,0.007307925743596197,14.548087357479014
35.66,88.841,0.28523189796670406,0.008493613072765797,14.68168262319838
36.32,87.88933333333334,0.28778806429750425,0.011977640399265103,15.083892023881946
36.98,90.53500000000001,0.2893294609633982,0.014107500619173579,15.334783901019819
37.64,91.36133333333333,0.2915642420115113,0.01660095315190047,15.61594426048988
38.3,92.658,0.29263525837029525,0.018778629407320373,15.903040894125354
38.97,94.75666666666666,0.293716160856048,0.020343589947266632,16.099908922030135
39.63,98.01233333333333,0.2947554461107763,0.022804722029183287,16.57815777997556
40.29,100.41466666666668,0.29390710066467773,0.02062424893877825,16.135897714989188
40.95,102.90100000000001,0.2936364713695544,0.020198244748303073,16.077182287742634
41.61,103.37599999999999,0.29430601853825783,0.022161914223437988,16.49171383462603
42.27,105.60700000000001,0.2937921548223622,0.020450914479002668,16.113005195046252
42.88,106.06766666666665,0.2944513163941878,0.022394615951961953,16.526896297452254
