t,bgt127,jt305,gob33
73.5,217.54984125034414,180.87160810421727,386.7403323231567
74.0,217.71051876352072,181.7898009306749,388.84041462422806
74.5,217.86711057441676,182.7013141756437,390.92623244614254
75.0,218.01973089770186,183.60619659913547,392.997883088193
75.5,218.16849171995008,184.50449658449858,395.0554631856861
76.0,218.31348153675876,185.39626213841785,397.0990687099397
76.5,218.4547854895028,186.28154089091407,399.1287949682843
77.0,218.59248756039293,187.1603800953443,401.14473660406316
77.5,218.7266705724756,188.0328266284026,403.14698759663145
78.0,218.8574161896331,188.89892699011875,405.1356412613568
78.5,218.98480491658353,189.75872730385888,407.1107902496188
79.0,219.10891609888068,190.61227331632597,409.07252654881034
79.5,219.22982792291418,191.45961039755898,411.02094148233596
80.0,219.34761741590947,192.30078354093345,412.95612570961174
80.5,219.4623604459277,193.13584006582107,414.87816922606834
81.0,219.57413172186583,193.96482788931738,416.787161363147
81.5,219.68300479345666,194.78779018541445,418.6831907883013
82.0,219.7890520512687,195.604769832344,420.56634550499757
82.5,219.89234472670626,196.41580946103622,422.43671285271523
83.0,219.99295289200944,197.2209514551197,424.2943795069447
83.5,220.09094546025415,198.02023795092146,426.13943147918945
84.0,220.18639018535202,198.813710837467,427.9719541169652
84.5,220.2793536620505,199.60141175648025,429.7920346741169
85.0,220.3699013259329,200.38338210238362,431.5997665535562
85.5,220.4580974534181,201.15966302229793,433.3952327611516
86.0,220.544005161761,201.93029541604244,435.17851480659147
86.5,220.62768640905216,202.6953199361349,436.9496937596175
87.0,220.7092019942179,203.45477698779146,438.70885025002457
87.5,220.7886115570204,204.20870672892676,440.4560644676608
88.0,220.86597357805758,204.9571490701538,442.1914161624275
88.5,220.94134537876317,205.70014367478413,443.91498464427934
89.0,221.01478312140662,206.43772995882773,445.62684878322403
89.5,221.08634180909323,207.16994709099296,447.32708700932255
90.0,221.15607528576405,207.89683399268665,449.0157773126891
90.5,221.22403623619593,208.61842933801415,450.6929972434913
91.0,221.29027618600148,209.33477155377918,452.3588239119496
91.5,221.35484550162911,210.04589881948385,454.01333398833805
92.0,221.41779339036302,210.75184906732892,455.6566037029837
92.5,221.47916794050317,211.45265998221333,457.28870884626696
93.0,221.53901473562175,212.14836900173475,458.9097247686214
93.5,221.59736787571077,212.839013316189,460.51972638053365
94.0,221.65425822568358,213.52462986857063,462.11878815254386
94.5,221.709716338385,214.2052553545724,463.7069841152452
95.0,221.76377245459108,214.88092622258569,465.28438785928415
95.5,221.81645650300942,215.5516786737002,466.8510725353604
96.0,221.8677981002789,216.21754866170414,468.4071108542268
96.5,221.91782655096978,216.87857189308417,469.9525750866896
97.0,221.96657084758368,217.53478382702534,471.4875370636079
97.5,222.01405967055365,218.18621967541128,473.01206817589446
98.0,222.0603213882441,218.83291440282397,474.526239374515
98.5,222.10538405695078,219.4749027265437,476.03012117048854
99.0,222.14927542090084,220.11221911654948,477.5237836348874
99.5,222.1920229122528,220.74489779551857,479.00729639883684
100.0,222.23365365109663,221.37297273882677,480.4807286535157
100.5,222.2741944454535,221.99647767454826,481.9441491501559
101.0,222.31367179127616,222.61544608345585,483.3976262000424
101.5,222.35211187244857,223.22991119902048,484.8412276745137
102.0,222.3895405607862,223.83990600741163,486.27502100496133
102.5,222.4259834160358,224.44546324749754,487.69907318283
103.0,222.4614656858755,225.04661541084454,489.1134507596178
103.5,222.4960123059149,225.64339474171751,490.5182198468759
104.0,222.52964789969485,226.23583323707985,491.91344611620883
104.5,222.56239677868768,226.82396264659326,493.2991947992742
105.0,222.59428294229704,227.40781447261784,494.67553068778307
105.5,222.625330077858,227.9874199702126,496.04251813349936
106.0,222.6555615606369,228.56281014713466,497.40022104824055
106.5,222.68500045383158,229.13401576383913,498.7487029038773
107.0,222.71366950857123,229.7010673334805,500.08802673233305
107.5,222.74159116391635,230.263995121911,501.41825512558523
108.0,222.7687875468589,230.82282914768146,502.73945023566364
108.5,222.79528047232213,231.3775991820416,504.051673774652
109.0,222.82109144316075,231.92833474893902,505.3549870146872
109.5,222.8462416501608,232.47506512501988,506.6494507879588
110.0,222.8707519720397,233.01781951774694,507.9351254867101
110.5,222.89464297544626,233.55663234708206,509.2120710632373
111.0,222.91793491496065,234.09153412584163,510.4803470298902
111.5,222.9406477330944,234.62255225115385,511.7400124590711
112.0,222.9628010602905,235.14971397330302,512.991125983237
112.5,222.9844142149232,235.67304639572959,514.2337457948962
113.0,223.00550620329818,236.19257647503017,515.4679296466113
113.5,223.02609537662883,236.7083310209575,516.6937348509986
114.0,223.0461908442607,237.22033669642047,517.9112182807261
114.5,223.06579946276543,237.72862001748416,519.1204363685166
115.0,223.0849297715723,238.2332073533697,520.3214451071451
115.5,223.10359027474837,238.73412492645448,521.5143000494404
116.0,223.1217894409984,239.23139881227192,522.6990619757589
116.5,223.13953570366493,239.7250549395117,523.8757954421719
117.0,223.1568374607282,240.21511909001953,525.0445532763229
117.5,223.1737030748062,240.70161689879737,526.2053877623028
118.0,223.19014087315466,241.1845738540033,527.3583509200348
118.5,223.20615914766705,241.66401529695148,528.5034945052735
119.0,223.22176615487453,242.1399664221123,529.6408700096055
119.5,223.2369701159461,242.61245227711223,530.7705286604491
120.0,223.25177921668833,243.08149776273396,531.8925214210547
120.5,223.26620160754575,243.54712763291622,533.006898990504
121.0,223.28024540360042,244.009366494754,534.113711803711
121.5,223.29391868457225,244.46823880849837,535.2130100314213
122.0,223.30722949481884,244.92376888755655,536.304843580212
122.5,223.32018584333557,245.37598089849192,537.3892620924927
123.0,223.33279570375552,245.82489886102402,538.4663149465042
123.5,223.34506701434952,246.2705466480285,539.5360512563195
124.0,223.35700767802615,246.71294798553717,540.598519871843
124.5,223.36862556233166,247.152126452738,541.6537693788114
125.0,223.37992849945013,247.5881054819751,542.7018480987928
125.5,223.3909242862033,248.02090835874873,543.7428040891873
126.0,223.40162068405073,248.45055822171526,544.7766851432267
126.5,223.41202541908964,248.87707806268725,545.8035387899748
127.0,223.422146182055,249.3004907266334,546.8234122943272
127.5,223.43199062831954,249.7208189116785,547.8363526570109
128.0,223.4415663778937,250.1380851691036,548.8424066145851
128.5,223.45088101542572,250.55231190334578,549.8416206394409
129.0,223.45994209020148,250.96352137199833,550.8340409398008
129.5,223.46875711614467,251.37173568581062,551.8197134597194
130.0,223.47733357181667,251.77697680868832,552.7986838790831
130.5,223.48567890041664,252.17926655769307,553.7709976136099
131.0,223.49380050978147,252.57862660304275,554.7366998148499
131.5,223.50170577238575,252.97507846811135,555.6958353701849
