time,logistic,interface
35.0,196.87509244836102,176.81997805358947
35.5,199.39791368951896,180.3359433003827
36.0,201.6601208428495,183.8157175814877
36.5,203.6825994356864,187.25967246115343
37.0,205.48795288810274,190.66817375627247
37.5,207.10050251291088,194.0415840044549
38.0,208.54384731599754,197.3802624640284
38.5,209.83112809548376,200.68456511403815
39.0,210.97448513513132,203.95484465424698
39.5,211.98624141161196,207.1914505051352
40.0,212.87872133626993,210.39472880790075
40.5,213.66425075512183,213.56502242445907
41.0,214.35515694885663,216.7026709374432
41.5,214.96376863283567,219.80801065020373
42.0,215.50241595709272,222.88137458680876
42.5,215.9820374880699,225.92309249204402
43.0,216.40709739171544,228.9334908314128
43.5,216.78199848206515,231.91289279113607
44.0,217.1112774166875,234.86161827815184
44.5,217.39944817604197,237.77998392011645
45.0,217.65100206347924,240.66830306540334
45.5,217.8704077052411,243.52688578310338
46.0,218.06211105046035,246.35603886302556
46.5,218.23053537116104,249.15606581569554
47.0,218.3800812622582,251.92726687235773
47.5,218.51390112010495,254.66993898497287
48.0,218.63253542875276,257.38437582622043
48.5,218.73705479368152,260.07086778949605
49.0,218.8285810839743,262.7297019889148
49.5,218.90827515467916,265.3611640251367
50.0,218.97733684680927,267.96555417340363
50.5,219.03700498734278,270.54315186771646
51.0,219.08855738922296,273.0942277188297
51.5,219.13331085135806,275.6190500893524
52.0,219.17262115862144,278.1178850937485
52.5,219.20788308185146,280.5909965983366
53.0,219.24015494109156,283.0386462212899
53.5,219.2691269171435,285.46109333263655
54.0,219.2948565383038,287.8585950542593
54.5,219.31748441470762,290.23140625989566
55.0,219.33718236529538,292.5797795751379
55.5,219.3541534178128,294.9039653774328
56.0,219.36863180881093,297.2042117960822
56.5,219.38088298364602,299.48076471224243
57.0,219.39120359647967,301.73386775892476
57.5,219.39992151027877,303.96376232099476
58.0,219.40739579681545,306.1706875351734
58.5,219.41401673666715,308.3548802900357
59.0,219.42020581921665,310.5165752260118
59.5,219.42630718291014,312.65600473538655
60.0,219.4320114378112,314.77339896229927
60.5,219.43720734943983,316.86898580274436
61.0,219.44186246011876,318.94299090457076
61.5,219.44595811493477,320.995637667482
62.0,219.44948946173878,323.0271472430366
62.5,219.4524654511458,325.03773853464753
63.0,219.45490883653497,327.0276281975829
63.5,219.45685617404945,328.9970306389653
64.0,219.45835782259658,330.9461580177719
64.5,219.45947794384776,332.87522024483445
65.0,219.4602945022385,334.78442498284056
65.5,219.4608992649684,336.6739776463309
66.0,219.46139780200113,338.5440814017021
66.5,219.4619094860645,340.39493716720483
67.0,219.4625674926505,342.22674361294474
67.5,219.46347711269505,344.03969716088307
68.0,219.46444374486072,345.833991984834
68.5,219.465390748872,347.60982001046773
69.0,219.46628957945103,349.36737091530875
69.5,219.46711627244073,351.10683458499255
70.0,219.467851444805,352.8284126067506
70.5,219.46848029462853,354.5322878818945
71.0,219.46899260111684,356.218638074785
71.5,219.46938272459636,357.88763942386606
72.0,219.46964960651434,359.53946674166446
72.5,219.46979676943891,361.17429341478993
73.0,219.4698323170591,362.7922914039353
73.5,219.46976893418469,364.39363124387614
74.0,219.4696238867464,365.97848204347133
74.5,219.4694190217958,367.5470114856625
75.0,219.4691807675053,369.0993858274742
75.5,219.46894013316816,370.635769900014
76.0,219.46873270919852,372.1563271084727
76.5,219.46859866713137,373.6612194321236
77.0,219.46858275962254,375.15060742432337
77.5,219.46873212285817,376.6246502125114
78.0,219.46899484209152,378.0835054982103
78.5,219.46931091919072,379.52732955702544
79.0,219.46965842994152,380.9562772386451
79.5,219.4700176495455,382.37050196684083
80.0,219.47037105262035,383.7701557394669
80.5,219.47070331319966,385.1553891284605
81.0,219.471001304733,386.52635127984223
81.5,219.47125410008587,387.88318991371506
82.0,219.4714529715398,389.2260513242653
82.5,219.47159139079227,390.5550803797623
83.0,219.4716650289567,391.87042052255805
83.5,219.4716717565625,393.17221376908776
84.0,219.47161164355504,394.4606007098695
84.5,219.47148695929567,395.7357205095044
85.0,219.4713021725617,396.99771090667656
85.5,219.4710639515464,398.24670821415293
86.0,219.47078116385902,399.48284731878357
86.5,219.47046487652477,400.70626168150153
87.0,219.47012835598483,401.91708333732265
87.5,219.46978706809634,403.11544289534544
88.0,219.46945867813244,404.30146953875254
88.5,219.4691630507822,405.4752910248084
89.0,219.46892225015068,406.6370336848606
89.5,219.46876053975888,407.78682242434064
90.0,219.46870438254382,408.92478072276157
90.5,219.46878244085843,410.05103063372036
91.0,219.4690385956419,411.1656927848971
91.5,219.46949300076713,412.2688863780541
92.0,219.4700984768962,413.36073109454657
92.5,219.4708093406568,414.4413643284274
93.0,219.47158360192583,415.5109031847028
93.5,219.4723829638292,416.5694570473459
94.0,219.4731728227421,417.6171344893948
94.5,219.47392226828873,418.65404327295187
95.0,219.47460408334248,419.6802903491842
95.5,219.47519474402586,420.69598185832336
96.0,219.47567441971051,421.7012231296655
96.5,219.4760269730172,422.6961186815714
97.0,219.47623995981587,423.6807722214663
97.5,219.47630462922547,424.65528664584
98.0,219.47621592361423,425.619764040247
98.5,219.4759724785994,426.5743056793062
99.0,219.47557662304743,427.519012026701
99.5,219.4750343790739,428.45398273517964
100.0,219.47435546204343,429.3793166465547
100.5,219.4735532805699,430.2951117917033
101.0,219.4726449365162,431.2014653905673
101.5,219.47165122499442,432.09847385215295
102.0,219.47059663436582,432.9862327745311
102.5,219.4695093462407,433.8648369448373
103.0,219.46842123547853,434.7343803392714
103.5,219.46736787018793,435.59495612309803
104.0,219.46638851172662,436.4466566506463
104.5,219.46552611470148,437.2895734653098
105.0,219.46482732696848,438.12379729954677
105.5,219.46434248963274,438.9494180748801
106.0,219.46412563704854,439.76652490189707
106.5,219.46423449681924,440.57520608024953
107.0,219.46473048979738,441.375549098654
107.5,219.46595726213025,442.1676406348915
108.0,219.46811359778522,442.9515665558077
108.5,219.47097828799932,443.72741191731257
109.0,219.47434550146946,444.4952609643809
109.5,219.47802532315507,445.255197131052
110.0,219.4818437542782,446.0073030404296
110.5,219.48564271232348,446.75166050468215
111.0,219.48928003103808,447.4883505250425
111.5,219.49262946043174,448.2174532918083
112.0,219.49558066677682,448.9390481843414
112.5,219.4980392326082,449.6532137710686
113.0,219.4999266567234,450.3600278094811
113.5,219.50118035418242,451.0595672461344
114.0,219.50175365630795,451.75190821664887
114.5,219.50161581068514,452.43712604570965
115.0,219.50075198116176,453.1152952470658
115.5,219.4991632478482,453.78648952353143
116.0,219.49686660711737,454.45078176698513
116.5,219.49389497160473,455.1082440583699
117.0,219.4902971702084,455.7589476676936
117.5,219.486137948089,456.4029630540281
118.0,219.48149796666974,457.0403598655103
118.5,219.47647380363642,457.6712069393416
119.0,219.4711779529374,458.2955723017878
119.5,219.46573882478364,458.91352316817955
120.0,219.46030074564862,459.52512844391157
120.5,219.45502395826844,460.13046761717106
121.0,219.45008462164176,460.729604059325
121.5,219.44567481102982,461.32259783498625
122.0,219.4420025179564,461.9095085931602
122.5,219.43929165020793,462.4903955672447
123.0,219.43778203183334,463.0653175750302
123.5,219.43772940314415,463.6343330186995
124.0,219.43940542071445,464.1974998848282
124.5,219.44327181498792,464.75487574438404
125.0,219.4505455175546,465.30651775272764
125.5,219.46066852610892,465.8524826496119
126.0,219.47280106005235,466.3928267591822
126.5,219.4861718092911,466.92760598997666
127.0,219.5000779342361,467.45687583492565
127.5,219.51388506580292,467.98069137135224
128.0,219.52702730541193,468.4991072609719
128.5,219.53900722498818,469.01217774989277
129.0,219.54939586696145,469.51995666861524
129.5,219.55783274426622,470.0224974320324
130.0,219.5640258403417,470.5198530394299
130.5,219.56775160913185,471.01207607448566
131.0,219.56885497508523,471.4992187052704
131.5,219.56724933315522,471.98133268424715
132.0,219.5629165487999,472.4584693482715
132.5,219.55590695798207,472.93067961859157
133.0,219.54633936716922,473.398014000848
133.5,219.53440105333357,473.86052258507397
134.0,219.52034776395203,474.318255045695
134.5,219.5045037170063,474.77126064152947
135.0,219.48726160098266,475.21958821578784
135.5,219.46908257487232,475.6632861960734
136.0,219.45049626817095,476.10240259438183
136.5,219.43210078087915,476.5369850071013
137.0,219.41456268350217,476.96708061501255
137.5,219.39861701704987,477.39273618328883
138.0,219.38506729303697,477.8139980614959
138.5,219.37478549348288,478.2309121835919
139.0,219.3687120709116,478.64352406792773
139.5,219.36785594835206,479.05187881724663
140.0,219.3732945193377,479.4560211186843
140.5,219.38600085720935,479.8559952437691
141.0,219.4050908084441,480.25184504842184
141.5,219.42868014588703,480.64361397295585
142.0,219.45504146097073,481.0313450420769
142.5,219.48261191465585,481.41508086488346
143.0,219.50999323743125,481.7948636348662
143.5,219.5359517293138,482.1707351299087
144.0,219.5594182598486,482.5427367122866
144.5,219.5794882681088,482.91090932866854
145.0,219.5954217626957,483.27529351011515
145.5,219.60664332173877,483.63592937208006
146.0,219.61274209289553,483.9928566144091
146.5,219.61347179335166,484.34611452134067
147.0,219.60875070982098,484.69574196150575
147.5,219.59866169854544,485.0417773879279
148.0,219.58345218529504,485.3842588380229
148.5,219.56353416536803,485.7232239335994
149.0,219.53948420359066,486.0587098808582
149.5,219.51204343431738,486.39075347039295
150.0,219.48211756143073,486.7193910771897
150.5,219.45077685834144,487.0446586606268
151.0,219.4192561679883,487.3665917644754
151.5,219.38895490283815,487.685225516899
152.0,219.3614370448862,488.0005946344742
152.5,219.33843114565553,488.3127416749898
153.0,219.32183032619747,488.621705467717
153.5,219.31369227709146,488.92751577931256
154.0,219.3162392584451,489.23020219308347
154.5,219.33155755551283,489.5297941089867
155.0,219.35518152387374,489.8263207436295
