time,data,data_error,nutrient_n,logistic_n,interface_n,logistic,interface
14.81,92.452,3.68,75.47487726101762,82.37788072310839,91.14749438524127,86.55736466137289,91.148258311867
15.3,94.927,3.812,82.31618035359568,90.77609826125125,94.50869713692593,95.95471705438594,94.50889982614393
15.79,98.551,3.816,89.14213698740492,98.99032314547149,97.79076272889617,105.06431190065187,97.79044691125249
16.27,101.711,3.806,95.74262143923414,106.72096054028385,100.93091284027429,113.521976842446,100.93012695157927
16.76,104.129,3.873,102.32738119522264,114.17721944912525,104.0617796625949,121.52245800272568,104.06054957398712
17.25,108.273,3.852,108.69895765110228,121.10802580456594,107.11894257723013,128.76547460955936,107.11730199200615
17.74,109.535,3.939,114.80650888327285,127.45619172079094,110.10414095308315,135.20419167406223,110.10212191501044
18.22,113.052,3.942,120.49456065491006,133.08266316928317,112.96027489279987,140.725047150608,112.9579152565216
18.71,115.592,3.994,125.96873363154693,138.22253336495714,115.80797719071919,145.58166275305004,115.8053003348214
19.2,117.687,4.063,131.08506504972553,142.776078697261,118.5886503304542,149.7056196496756,118.58568402265763
19.68,120.32,4.076,135.73842730713446,146.70198239839345,121.2491416935362,153.1256301335835,121.24589573727455
20.17,122.845,4.088,140.1209041626487,150.20748870003098,123.90180921037907,156.06057210859936,123.89830786681885
20.66,126.117,4.022,144.1394401372095,153.25137391658922,126.49204400052733,158.47678197588797,126.48831811117485
21.14,128.593,4.095,147.73281022944306,155.8313756353927,128.9702804314561,160.39642047981977,128.96636414031158
21.63,130.227,4.086,151.06344446652065,158.10327967789448,131.44117756818676,161.97093129544135,131.4370965528512
22.12,132.329,4.106,154.0692995773558,160.05832232512955,133.8538828940724,163.2432962795268,133.84966638059402
22.61,135.095,4.133,156.76991127585256,161.7373919189422,136.20976274348592,164.30507382783986,136.20543904243502
23.09,137.01,4.142,159.1412680068347,163.15047479397677,138.46375399857212,165.15674477868225,138.45935168591473
23.57,140.102,4.139,161.26517983504237,164.36599311859678,140.6657300701481,165.84522238033907,140.66127404331968
24.06,141.961,4.066,163.1992066728507,165.4320108310808,142.86117951813907,166.40962837380988,142.85669290033792
24.54,143.746,4.113,164.883434323553,166.32967163630732,144.96169048331154,166.85412823571363,144.9571960603833
25.03,146.411,4.048,166.40747848612037,167.11788487576726,147.05598811260873,167.22312914072182,147.0515065324659
25.52,148.586,4.052,167.75351448067929,167.79453315319438,149.10098453334717,167.52334969442575,149.09653480426064
26.01,149.806,4.014,168.94058490433224,168.37605320716025,151.09784735704872,167.7630304745552,151.09344627003483
26.5,151.955,3.992,169.98712038216235,168.87652377827484,153.0477155557662,167.95095145951473,153.0433774969768
26.98,153.879,3.903,170.890583680987,169.29969972992419,154.91329411656724,168.09414453805496,154.90902925283734
27.47,156.376,3.918,171.7014796920651,169.67351035601573,156.77337913883312,168.20891865336097,156.76919795567878
27.96,158.695,4.02,172.41212476369395,169.99748084978248,158.5896981782779,168.30328051130013,158.5856247106157
28.45,160.598,3.907,173.03410534878896,170.27914165807232,160.36331598375224,168.38303936452664,160.35934921634913
28.94,160.907,3.949,173.57821932828497,170.52454371709985,162.09522367109625,168.4473334542719,162.09135484486924
29.42,163.217,3.936,174.04530373481583,170.73419078509997,163.75226819106305,168.49730984633393,163.74849216708233
29.91,164.832,4.026,174.4627285527478,170.9200205700971,165.40441874395023,168.5372119116295,165.40073908619962
30.4,167.859,3.959,174.82686079787726,171.08169132620844,167.01766484384004,168.5681991128948,167.0140874512682
30.89,168.635,3.859,175.14397834473957,171.22269321962813,168.59291267881693,168.59273537243087,168.58944709220577
31.38,170.018,3.926,175.4198636417771,171.34573175946048,170.13105062646812,168.61334954089793,170.12770938633508
31.87,172.657,3.934,175.65980371133924,171.45323396315004,171.6329492538836,168.63101106144808,171.62974725838416
32.35,173.86,3.914,175.86459915745414,171.54554867378215,173.0698806810999,168.6452691091388,173.0668311889192
32.84,175.104,3.922,176.0466114832761,171.62836349188552,174.5025380338696,168.65674241035742,174.49966171970007
33.33,175.82,3.981,176.20443198299674,171.70122237951807,175.9014444064841,168.66530491387837,175.8987593864249
33.92,175.176,4.206,176.36646766392857,171.77758822875307,177.5421881534525,168.67230853732872,177.5397571796846
34.56,176.629,4.319,176.51269299391257,171.84828875696695,179.26954158820132,168.67696304648803,179.267413654034
35.24,177.848,4.324,176.64004008361906,171.91153319838793,181.0469026038826,168.68053447368703,181.04512373736637
35.91,179.222,4.369,176.74222837508793,171.96385628851894,182.74159866782534,168.68470039947206,182.74018443825304
36.59,182.711,4.393,176.8260931873814,172.0084308682537,184.40608994292833,168.6884483530875,184.40505766851786
37.27,183.99,4.5,176.89324787834977,172.045829799056,186.016491952344,168.6912412722717,186.01585635791665
37.95,185.719,4.45,176.9466167609099,172.07727117399827,187.57457193099557,168.6930012608341,187.5744050575536
38.63,187.694,4.647,176.98874154269876,172.10376643957002,189.0821061201914,168.69383262307733,189.0823600200736
39.31,189.839,4.583,177.02159927564048,172.1261049871865,190.54071728678173,168.69402186379716,190.5413165477083
39.99,189.78,4.662,177.04665464361244,172.144901031048,191.95193899982738,168.69403768828255,191.9528305517048
40.67,193.435,4.746,177.0652082888114,172.1606988970502,193.31726793165564,168.69450630037167,193.3184185523257
41.35,195.402,4.825,177.07841774934676,172.17398305452357,194.63816385786004,168.69535039480107,194.63955767884903
42.03,198.403,4.738,177.0872953502712,172.18517811623335,195.9160496573004,168.69617876662704,195.91768566956824
42.71,198.665,4.928,177.0926099346088,172.19464212849894,197.15231131210294,168.69681360394745,197.15420087179228
43.38,199.246,4.968,177.0948927990112,172.2025224505653,198.33099531865125,168.69714540132122,198.3331554198492
44.06,199.87,4.981,177.0946972290093,172.2092672639126,199.488582697352,168.6971477498129,199.49104571467393
44.74,200.737,5.035,177.09241370180143,172.21494395861856,200.60846401040817,168.69684681683194,200.61126337630986
45.42,200.96,4.99,177.08844176392077,172.21972594386995,201.6918781956102,168.69634688921886,201.6950497674069
46.1,205.203,5.248,177.08311605575784,172.22376458988202,202.7400272940149,168.6958230387386,202.74360685963057
46.78,209.39,5.068,177.0766428299155,172.22717895609262,203.75407644994544,168.69552112208052,203.75809723366172
47.46,210.382,5.24,177.0691915008565,172.23005814970134,204.73515391099113,168.695697260608,204.73964407919655
