file,replicate,time,border_l,border_r,offset_l,offest_r,displacement,zoom,strain,mid_height,max_height,min_height,width,hL,hR,avg_height,std_height,forward_change,loess_height,local_slope
bacillus_036.datx,C,3.91833333333333,9241,30025,0.0,0.0,2608,50,bacillus,0.5279475346542313,1.321514619721711,-0.463833264358982,3.60834446,7240,18759,0.43663541832575403,0.08820594441332381,-0.11440788693686983,0.4291840428772635,0.18568722478642719
bacillus_039.datx,C,4.19777777777778,9239,30030,0.0,0.0,2604,50,bacillus,0.46669917185136,1.5349837989087973,-0.31197342258747085,3.6095598,7240,18759,0.40466476992061695,0.0853342432323222,-0.045752828542626967,0.47390216260963614,0.11539543656971935
bacillus_042.datx,C,4.47777777777778,9236,30033,0.0,0.0,2601,50,bacillus,0.45478239191288594,1.6134132742990914,-0.33586156112505705,3.6106015200000003,7240,18759,0.39185397792868143,0.1303637445210199,1.327759906342554,0.5123701190010834,0.27732859297434076
bacillus_045.datx,C,4.75833333333333,9235,30032,0.0,0.0,2601,50,bacillus,0.887369531494187,1.7886737423250452,-0.25529238903618534,3.6106015200000003,7240,18759,0.7643643960970025,0.16225833881387666,-0.5124996000285578,0.5987017981060732,0.33271632774083015
bacillus_048.datx,C,5.03777777777778,9236,30034,0.0,0.0,2601,50,bacillus,0.7002230135076388,1.9208548168062407,-0.28293707983539207,3.61077514,7240,18759,0.6211492300890193,0.1332980225706299,0.7483706081963782,0.6555856145311434,-0.08294880323630238
bacillus_051.datx,C,5.31888888888889,9232,30033,0.0,0.0,2599,50,bacillus,0.9092864384001587,2.079524817316269,-0.26407538655621465,3.611296,7240,18759,0.8315245232820002,0.09478201050157606,-1.7400419924901243,0.6262635961677603,0.06225113890221512
bacillus_054.datx,C,5.59833333333333,9231,30034,0.0,0.0,2598,50,bacillus,0.36925680174317677,2.2444070413766894,-0.31972243253767374,3.61164324,7240,18759,0.34527945538060073,0.06646241665193146,0.712326055443627,0.6830360199011392,0.21901229078888695
bacillus_057.datx,C,5.87777777777778,9223,30035,0.0,0.0,2594,50,bacillus,0.6182616839505499,2.418597254320048,-0.30989069532006397,3.61320582,7240,18759,0.5443350142073515,0.12007060561369429,2.134836295080741,0.73464464988897,0.329946965855894
bacillus_060.datx,C,6.15888888888889,9221,30035,0.0,0.0,2593,50,bacillus,1.2315853125146532,2.6976550140534528,-0.2677604290547606,3.6135530599999997,7240,18759,1.1444612171578237,0.11324102180089961,-0.2985187536085408,0.826178216601368,0.1847486998831116
bacillus_063.datx,C,6.59833333333333,9219,30041,0.0,0.0,2589,50,bacillus,1.076228969857766,3.052422002867388,-0.32981906196437194,3.6149420199999995,7240,18759,1.0132788093220717,0.08733519911937501,-0.6594657061517175,0.8779706371317914,0.061679317284983326
bacillus_066.datx,C,7.045,9203,30031,0.0,0.0,2586,50,bacillus,0.7638978265786136,3.0780646415696538,-0.7880173595076485,3.6159837400000003,7240,18759,0.7187174605743024,0.08885388217103285,0.4759765019664804,0.9179601812334487,0.1328305281062364
