strain,fit,u0,x1,x2,x3
jt305,48h,0.24,0.2837028785754246,0.024197393797683237,17.56646935668008
jt305,48h,0.25,0.2812168327010309,0.024506847730115938,17.81114400655818
jt305,48h,0.26,0.27882340459573646,0.024800810023505662,18.04980392427168
jt305,48h,0.27,0.27653858432892364,0.025029841776421993,18.266513279260124
jt305,48h,0.28,0.2743148695370631,0.025301455598552236,18.495338842810792
jt305,48h,0.29,0.27216616983375586,0.025553160632022363,18.716874614913586
jt305,48h,0.3,0.2700855517765154,0.025790941694994685,18.93301890638355
jt305,48h,0.31,0.26797590306290364,0.02483585010154191,18.79296507656776
jt305,48h,0.32,0.26612853723559715,0.025081479893478423,18.998783863981327
jt305,48h,0.33,0.2642961517785712,0.02521470994543451,19.171869077348163
jt305,48h,0.34,0.26256274685989944,0.02544538109453581,19.3703313822197
